,titulo,data,resumo
0,"Fotógrafa captura encontro de aurora boreal, vulcão e fumaça na Islândia",19 de agosto de 2023 @ 20:40,Imagem feita na Islândia foi premiada e oferece um vislumbre profundo do dinâmico jogo de forças que moldam o planeta
1,Vitrola portátil em oferta na Amazon; confira,19 de agosto de 2023 @ 20:00,"A vitrola portátil, com suporte à conexão bluetooth, está mais barata no site"
2,"Uma 5ª força da natureza pode estar perto de aparecer, dizem cientistas",19 de agosto de 2023 @ 19:31,Equipe deve terminar de analisar os dados do experimento até 2025 e determinar se é possível dizer que se trata de uma nova força da natureza
3,Por que os cães preferem brinquedos azuis e amarelos?,19 de agosto de 2023 @ 19:20,Não há nada que conecte mais um dono ao seu cão que os momentos de brincadeira. Mas você já comprou um brinquedo que achou incrível pro seu cachorro e quando chegou em casa ele não deu muita bola? Então talvez…
4,Apple Watch Series 8 em oferta na Amazon,19 de agosto de 2023 @ 18:40,O Apple Watch Series 8 está R$ 1.300 mais barato na Amazon neste final de semana
5,Mudanças climáticas estão “sufocando” as plantas em todo o mundo,19 de agosto de 2023 @ 18:00,"Uma das principais lições das aulas de biologia é entender como funciona a fotossíntese. As plantas absorvem água e CO2, para então converter tudo isso em oxigênio e carboidratos. O primeiro é liberado e o segundo acaba por alimentar a…"
6,Monitor gamer LG com 44% de desconto na Amazon,19 de agosto de 2023 @ 17:20,"O monitor ultrawide, com tela de 29 polegadas e resolução Full HD, está mais barato no site"
7,3 plataformas de vídeo para quem está cansado do Youtube,19 de agosto de 2023 @ 16:40,"Além do YouTube, existem outras alternativas de excelente qualidade para quem costuma consumir conteúdo online"
8,Promoção rápida na CdkeySales: Windows 10/11 a partir de R$ 59 e Office a R$ 88,19 de agosto de 2023 @ 16:27,Site também está oferecendo cupom exclusivo com 35% de desconto na compra das licenças. Adquira agora
9,Oferta: Asus Vivobook 15 com 28% de desconto na Amazon,19 de agosto de 2023 @ 16:00,"O notebook, com processador Intel Core i7 -- de 11ª geração --, está mais barato no site"
